entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
40 45 0 1 1958 1959 36680556.000000 36680556.000000 36680556.000000
45 50 0 1 1958 1959 31158204.000000 31158204.000000 31158204.000000
50 55 0 1 1958 1959 26346624.000000 26346624.000000 26346624.000000
55 60 0 1 1958 1959 21835904.000000 21835904.000000 21835904.000000
60 65 0 1 1958 1959 16485223.000000 16485223.000000 16485223.000000
65 70 0 1 1958 1959 12210925.000000 12210925.000000 12210925.000000
70 120 0 1 1958 1959 12949151.000000 12949151.000000 12949151.000000
0 5 0 1 1959 1960 96785664.000000 96785664.000000 96785664.000000
5 10 0 1 1959 1960 91846928.000000 91846928.000000 91846928.000000
10 15 0 1 1959 1960 64843536.000000 64843536.000000 64843536.000000
15 20 0 1 1959 1960 53253116.000000 53253116.000000 53253116.000000
20 25 0 1 1959 1960 52044088.000000 52044088.000000 52044088.000000
25 30 0 1 1959 1960 48568928.000000 48568928.000000 48568928.000000
30 35 0 1 1959 1960 42382048.000000 42382048.000000 42382048.000000
35 40 0 1 1959 1960 38495016.000000 38495016.000000 38495016.000000
40 45 0 1 1959 1960 37147720.000000 37147720.000000 37147720.000000
45 50 0 1 1959 1960 31922800.000000 31922800.000000 31922800.000000
50 55 0 1 1959 1960 26525272.000000 26525272.000000 26525272.000000
55 60 0 1 1959 1960 22387654.000000 22387654.000000 22387654.000000
60 65 0 1 1959 1960 16430609.000000 16430609.000000 16430609.000000
65 70 0 1 1959 1960 12305576.000000 12305576.000000 12305576.000000
70 120 0 1 1959 1960 12617010.000000 12617010.000000 12617010.000000
0 5 0 1 1960 1961 95890840.000000 95890840.000000 95890840.000000
5 10 0 1 1960 1961 95559312.000000 95559312.000000 95559312.000000
10 15 0 1 1960 1961 68786816.000000 68786816.000000 68786816.000000
15 20 0 1 1960 1961 54120844.000000 54120844.000000 54120844.000000
20 25 0 1 1960 1961 51995856.000000 51995856.000000 51995856.000000
25 30 0 1 1960 1961 49233252.000000 49233252.000000 49233252.000000
30 35 0 1 1960 1961 43196428.000000 43196428.000000 43196428.000000
35 40 0 1 1960 1961 38518376.000000 38518376.000000 38518376.000000
40 45 0 1 1960 1961 37312320.000000 37312320.000000 37312320.000000
45 50 0 1 1960 1961 32565264.000000 32565264.000000 32565264.000000
50 55 0 1 1960 1961 26834604.000000 26834604.000000 26834604.000000
55 60 0 1 1960 1961 22755832.000000 22755832.000000 22755832.000000
60 65 0 1 1960 1961 16556600.000000 16556600.000000 16556600.000000
65 70 0 1 1960 1961 12269651.000000 12269651.000000 12269651.000000
70 120 0 1 1960 1961 12090150.000000 12090150.000000 12090150.000000
0 5 0 1 1961 1962 92591960.000000 92591960.000000 92591960.000000
5 10 0 1 1961 1962 98339128.000000 98339128.000000 98339128.000000
10 15 0 1 1961 1962 73899904.000000 73899904.000000 73899904.000000
15 20 0 1 1961 1962 55754408.000000 55754408.000000 55754408.000000
20 25 0 1 1961 1962 52061484.000000 52061484.000000 52061484.000000
25 30 0 1 1961 1962 49935128.000000 49935128.000000 49935128.000000
30 35 0 1 1961 1962 44244056.000000 44244056.000000 44244056.000000
35 40 0 1 1961 1962 38886764.000000 38886764.000000 38886764.000000
40 45 0 1 1961 1962 37383936.000000 37383936.000000 37383936.000000
45 50 0 1 1961 1962 33251672.000000 33251672.000000 33251672.000000
50 55 0 1 1961 1962 27283142.000000 27283142.000000 27283142.000000
55 60 0 1 1961 1962 22942416.000000 22942416.000000 22942416.000000
60 65 0 1 1961 1962 16857580.000000 16857580.000000 16857580.000000
65 70 0 1 1961 1962 12258656.000000 12258656.000000 12258656.000000
70 120 0 1 1961 1962 12644660.000000 12644660.000000 12644660.000000
0 5 0 1 1962 1963 94905664.000000 94905664.000000 94905664.000000
5 10 0 1 1962 1963 98006128.000000 98006128.000000 98006128.000000
10 15 0 1 1962 1963 79367024.000000 79367024.000000 79367024.000000
15 20 0 1 1962 1963 57511528.000000 57511528.000000 57511528.000000
20 25 0 1 1962 1963 51708936.000000 51708936.000000 51708936.000000
25 30 0 1 1962 1963 50199664.000000 50199664.000000 50199664.000000
30 35 0 1 1962 1963 45107396.000000 45107396.000000 45107396.000000
35 40 0 1 1962 1963 39249576.000000 39249576.000000 39249576.000000
40 45 0 1 1962 1963 37030628.000000 37030628.000000 37030628.000000
45 50 0 1 1962 1963 33751944.000000 33751944.000000 33751944.000000
50 55 0 1 1962 1963 27732136.000000 27732136.000000 27732136.000000
55 60 0 1 1962 1963 22885724.000000 22885724.000000 22885724.000000
60 65 0 1 1962 1963 17211812.000000 17211812.000000 17211812.000000
65 70 0 1 1962 1963 12079183.000000 12079183.000000 12079183.000000
70 120 0 1 1962 1963 12984964.000000 12984964.000000 12984964.000000
0 5 0 1 1963 1964 101182688.000000 101182688.000000 101182688.000000
5 10 0 1 1963 1964 95035616.000000 95035616.000000 95035616.000000
10 15 0 1 1963 1964 84952920.000000 84952920.000000 84952920.000000
15 20 0 1 1963 1964 59717160.000000 59717160.000000 59717160.000000
20 25 0 1 1963 1964 51347852.000000 51347852.000000 51347852.000000
25 30 0 1 1963 1964 50215720.000000 50215720.000000 50215720.000000
30 35 0 1 1963 1964 45869112.000000 45869112.000000 45869112.000000
35 40 0 1 1963 1964 39713504.000000 39713504.000000 39713504.000000
40 45 0 1 1963 1964 36534788.000000 36534788.000000 36534788.000000
45 50 0 1 1963 1964 34123364.000000 34123364.000000 34123364.000000
50 55 0 1 1963 1964 28229864.000000 28229864.000000 28229864.000000
55 60 0 1 1963 1964 22778764.000000 22778764.000000 22778764.000000
60 65 0 1 1963 1964 17589528.000000 17589528.000000 17589528.000000
65 70 0 1 1963 1964 11876286.000000 11876286.000000 11876286.000000
70 120 0 1 1963 1964 13113317.000000 13113317.000000 13113317.000000
0 5 0 1 1964 1965 108441112.000000 108441112.000000 108441112.000000
5 10 0 1 1964 1965 91269104.000000 91269104.000000 91269104.000000
10 15 0 1 1964 1965 89786352.000000 89786352.000000 89786352.000000
15 20 0 1 1964 1965 62850464.000000 62850464.000000 62850464.000000
20 25 0 1 1964 1965 51539088.000000 51539088.000000 51539088.000000
25 30 0 1 1964 1965 50236580.000000 50236580.000000 50236580.000000
30 35 0 1 1964 1965 46650396.000000 46650396.000000 46650396.000000
35 40 0 1 1964 1965 40406892.000000 40406892.000000 40406892.000000
40 45 0 1 1964 1965 36282516.000000 36282516.000000 36282516.000000
45 50 0 1 1964 1965 34448808.000000 34448808.000000 34448808.000000
50 55 0 1 1964 1965 28843522.000000 28843522.000000 28843522.000000
55 60 0 1 1964 1965 22872560.000000 22872560.000000 22872560.000000
60 65 0 1 1964 1965 17958788.000000 17958788.000000 17958788.000000
65 70 0 1 1964 1965 11819782.000000 11819782.000000 11819782.000000
70 120 0 1 1964 1965 13054990.000000 13054990.000000 13054990.000000
0 5 0 1 1965 1966 114710304.000000 114710304.000000 114710304.000000
5 10 0 1 1965 1966 89103656.000000 89103656.000000 89103656.000000
10 15 0 1 1965 1966 92727192.000000 92727192.000000 92727192.000000
15 20 0 1 1965 1966 67090476.000000 67090476.000000 67090476.000000
20 25 0 1 1965 1966 52574048.000000 52574048.000000 52574048.000000
25 30 0 1 1965 1966 50371904.000000 50371904.000000 50371904.000000
30 35 0 1 1965 1966 47473660.000000 47473660.000000 47473660.000000
35 40 0 1 1965 1966 41354096.000000 41354096.000000 41354096.000000
40 45 0 1 1965 1966 36453676.000000 36453676.000000 36453676.000000
45 50 0 1 1965 1966 34748900.000000 34748900.000000 34748900.000000
50 55 0 1 1965 1966 29579828.000000 29579828.000000 29579828.000000
55 60 0 1 1965 1966 23272428.000000 23272428.000000 23272428.000000
60 65 0 1 1965 1966 18305960.000000 18305960.000000 18305960.000000
65 70 0 1 1965 1966 11974941.000000 11974941.000000 11974941.000000
70 120 0 1 1965 1966 12821115.000000 12821115.000000 12821115.000000
0 5 0 1 1966 1967 123386416.000000 123386416.000000 123386416.000000
5 10 0 1 1966 1967 89470496.000000 89470496.000000 89470496.000000
10 15 0 1 1966 1967 92939504.000000 92939504.000000 92939504.000000
15 20 0 1 1966 1967 71633760.000000 71633760.000000 71633760.000000
20 25 0 1 1966 1967 53769224.000000 53769224.000000 53769224.000000
25 30 0 1 1966 1967 50046864.000000 50046864.000000 50046864.000000
30 35 0 1 1966 1967 47800500.000000 47800500.000000 47800500.000000
35 40 0 1 1966 1967 42073116.000000 42073116.000000 42073116.000000
