entries = 304 
description 	 index 	 amin 	 amax 	 emin 	 emax 	 value 	 interval 
ti+ 	 6 	 5 	 10 	 0 	 1 	 0.000000000085 	 0.000000000085 	 0.000000000085 
ti+ 	 6 	 10 	 15 	 0 	 1 	 0.000000000123 	 0.000000000123 	 0.000000000123 
ti+ 	 6 	 15 	 20 	 0 	 1 	 0.000000001395 	 0.000000001395 	 0.000000001395 
ti+ 	 6 	 20 	 25 	 0 	 1 	 0.000000005779 	 0.000000005779 	 0.000000005779 
ti+ 	 6 	 25 	 30 	 0 	 1 	 0.000000009419 	 0.000000009419 	 0.000000009419 
ti+ 	 6 	 30 	 35 	 0 	 1 	 0.000000011017 	 0.000000011017 	 0.000000011017 
ti+ 	 6 	 35 	 40 	 0 	 1 	 0.000000011488 	 0.000000011488 	 0.000000011488 
ti+ 	 6 	 40 	 45 	 0 	 1 	 0.000000011945 	 0.000000011945 	 0.000000011945 
ti+ 	 6 	 45 	 50 	 0 	 1 	 0.000000013177 	 0.000000013177 	 0.000000013177 
ti+ 	 6 	 50 	 55 	 0 	 1 	 0.000000014455 	 0.000000014455 	 0.000000014455 
ti+ 	 6 	 55 	 60 	 0 	 1 	 0.000000021746 	 0.000000021746 	 0.000000021746 
ti+ 	 6 	 60 	 65 	 0 	 1 	 0.000000029786 	 0.000000029786 	 0.000000029786 
ti+ 	 6 	 65 	 70 	 0 	 1 	 0.000000039318 	 0.000000039318 	 0.000000039318 
ti+ 	 6 	 70 	 75 	 0 	 1 	 0.000000053688 	 0.000000053688 	 0.000000053688 
ti+ 	 6 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
ti- 	 7 	 0 	 5 	 0 	 1 	 0.000000000098 	 0.000000000098 	 0.000000000098 
ti- 	 7 	 5 	 10 	 0 	 1 	 0.000000000414 	 0.000000000414 	 0.000000000414 
ti- 	 7 	 10 	 15 	 0 	 1 	 0.000000000601 	 0.000000000601 	 0.000000000601 
ti- 	 7 	 15 	 20 	 0 	 1 	 0.000000000725 	 0.000000000725 	 0.000000000725 
ti- 	 7 	 20 	 25 	 0 	 1 	 0.000000001971 	 0.000000001971 	 0.000000001971 
ti- 	 7 	 25 	 30 	 0 	 1 	 0.000000003165 	 0.000000003165 	 0.000000003165 
ti- 	 7 	 30 	 35 	 0 	 1 	 0.000000003744 	 0.000000003744 	 0.000000003744 
ti- 	 7 	 35 	 40 	 0 	 1 	 0.000000003949 	 0.000000003949 	 0.000000003949 
ti- 	 7 	 40 	 45 	 0 	 1 	 0.000000004135 	 0.000000004135 	 0.000000004135 
ti- 	 7 	 45 	 50 	 0 	 1 	 0.000000004572 	 0.000000004572 	 0.000000004572 
ti- 	 7 	 50 	 55 	 0 	 1 	 0.000000005014 	 0.000000005014 	 0.000000005014 
ti- 	 7 	 55 	 60 	 0 	 1 	 0.000000007532 	 0.000000007532 	 0.000000007532 
ti- 	 7 	 60 	 65 	 0 	 1 	 0.000000010418 	 0.000000010418 	 0.000000010418 
ti- 	 7 	 65 	 70 	 0 	 1 	 0.000000015250 	 0.000000015250 	 0.000000015250 
ti- 	 7 	 70 	 75 	 0 	 1 	 0.000000022184 	 0.000000022184 	 0.000000022184 
ti- 	 7 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
tn 	 8 	 0 	 5 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
tn 	 8 	 5 	 10 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
tn 	 8 	 10 	 15 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
tn 	 8 	 15 	 20 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
tn 	 8 	 20 	 25 	 0 	 1 	 0.000000000000 	 0.000000000000 	 0.000000000000 
